Frame,Hand,Landmark,x,y,z
0,Right,WRIST,948.0867767333984,424.67711448669434,-1.78468084754968e-07
0,Right,THUMB_CPC,917.4993896484375,377.38358974456787,-0.013649668544530869
0,Right,THUMB_MCP,873.9302825927734,343.9321303367615,-0.026690945029258728
0,Right,THUMB_IP,831.8595886230469,329.36670541763306,-0.03718748316168785
0,Right,THUMB_TIP,800.0413513183594,325.8365535736084,-0.0500638484954834
0,Right,INDEX_FINGER_MCP,888.3411407470703,317.95300483703613,-0.05330035090446472
0,Right,INDEX_FINGER_PIP,831.3665771484375,290.21671056747437,-0.07693271338939667
0,Right,INDEX_FINGER_DIP,786.8275451660156,294.40014123916626,-0.08924960345029831
0,Right,INDEX_FINGER_TIP,752.2041320800781,306.0558843612671,-0.0965411365032196
0,Right,MIDDLE_FINGER_MCP,906.7549133300781,347.6209831237793,-0.057988885790109634
0,Right,MIDDLE_FINGER_PIP,833.6758422851562,345.8830404281616,-0.08131172508001328
0,Right,MIDDLE_FINGER_DIP,777.8391265869141,359.85979557037354,-0.09001868218183517
0,Right,MIDDLE_FINGER_TIP,739.3522644042969,371.8424463272095,-0.09693758934736252
0,Right,RING_FINGER_PIP,917.9385375976562,389.32512760162354,-0.061851076781749725
0,Right,RING_FINGER_DIP,851.5785980224609,396.3653039932251,-0.0850144624710083
0,Right,RING_FINGER_TIP,797.3355102539062,406.4268493652344,-0.0912160575389862
0,Right,RING_FINGER_MCP,761.4682006835938,414.11062717437744,-0.09477165341377258
0,Right,PINKY_MCP,924.6632385253906,433.44141483306885,-0.06555723398923874
0,Right,PINKY_PIP,869.5574951171875,446.5879726409912,-0.08753786236047745
0,Right,PINKY_DIP,829.03564453125,453.3812141418457,-0.09223104268312454
0,Right,PINKY_TIP,800.6729125976562,457.8677558898926,-0.09375566244125366
0,Left,WRIST,535.6756210327148,581.8335342407227,3.502991603454575e-07
0,Left,THUMB_CPC,566.7919921875,635.6768417358398,-0.019316190853714943
0,Left,THUMB_MCP,616.9435501098633,678.1642770767212,-0.03355183079838753
0,Left,THUMB_IP,668.8555145263672,703.7353420257568,-0.043079674243927
0,Left,THUMB_TIP,709.9560546875,711.883978843689,-0.054160259664058685
0,Left,INDEX_FINGER_MCP,585.0887298583984,647.1153259277344,-0.06414850801229477
0,Left,INDEX_FINGER_PIP,641.6450500488281,683.4261274337769,-0.08441207557916641
0,Left,INDEX_FINGER_DIP,687.9042053222656,696.2004375457764,-0.09118068218231201
0,Left,INDEX_FINGER_TIP,725.8718872070312,705.5119514465332,-0.09522351622581482
0,Left,MIDDLE_FINGER_MCP,589.5717620849609,600.3145980834961,-0.06347701698541641
0,Left,MIDDLE_FINGER_PIP,660.8263397216797,613.4633874893188,-0.0845029205083847
0,Left,MIDDLE_FINGER_DIP,720.9317016601562,624.4462394714355,-0.09131231904029846
0,Left,MIDDLE_FINGER_TIP,761.4969635009766,637.2847080230713,-0.09820792824029922
0,Left,RING_FINGER_PIP,598.7679290771484,556.9475698471069,-0.06203124672174454
0,Left,RING_FINGER_DIP,671.0858154296875,562.0103788375854,-0.08260780572891235
0,Left,RING_FINGER_TIP,728.8455200195312,575.6240272521973,-0.0927671417593956
0,Left,RING_FINGER_MCP,766.0044860839844,589.9682235717773,-0.09989742934703827
0,Left,PINKY_MCP,611.396369934082,520.1905345916748,-0.06062038615345955
0,Left,PINKY_PIP,680.9456634521484,508.93813133239746,-0.08155885338783264
0,Left,PINKY_DIP,731.9169616699219,512.3712730407715,-0.09498599916696548
0,Left,PINKY_TIP,769.0561676025391,523.4604263305664,-0.1043395847082138
1,Right,WRIST,950.4010009765625,421.23088359832764,-8.711849375231395e-08
1,Right,THUMB_CPC,913.7346649169922,374.1744661331177,-0.007442863658070564
1,Right,THUMB_MCP,868.8893127441406,345.65709114074707,-0.021494852378964424
1,Right,THUMB_IP,825.7700347900391,335.4511785507202,-0.034259021282196045
1,Right,THUMB_TIP,793.6526489257812,327.1896743774414,-0.0489545501768589
1,Right,INDEX_FINGER_MCP,892.2688293457031,324.3610167503357,-0.05338522046804428
1,Right,INDEX_FINGER_PIP,832.2206878662109,291.7515563964844,-0.08165809512138367
1,Right,INDEX_FINGER_DIP,785.8993530273438,293.9573836326599,-0.09680406004190445
1,Right,INDEX_FINGER_TIP,750.9263610839844,304.54979181289673,-0.10505962371826172
