Frame,Hand,Landmark,x,y,z
0,Right,WRIST,579.7787475585938,364.2027425765991,4.922754328617884e-07
0,Right,THUMB_CPC,602.1361541748047,342.0696687698364,-0.013952508568763733
0,Right,THUMB_MCP,635.975341796875,322.5474786758423,-0.03125133365392685
0,Right,THUMB_IP,665.8180236816406,319.5815348625183,-0.04470284283161163
0,Right,THUMB_TIP,692.6974487304688,324.78147983551025,-0.0585852675139904
0,Right,INDEX_FINGER_MCP,611.6775894165039,303.96262407302856,-0.0607941597700119
0,Right,INDEX_FINGER_PIP,669.6147918701172,297.954626083374,-0.0854109674692154
0,Right,INDEX_FINGER_DIP,710.1802825927734,306.7137336730957,-0.09770628809928894
0,Right,INDEX_FINGER_TIP,740.3462982177734,317.932984828949,-0.10417936742305756
0,Right,MIDDLE_FINGER_MCP,600.7640838623047,328.2377314567566,-0.06280247867107391
0,Right,MIDDLE_FINGER_PIP,667.8025054931641,331.0493731498718,-0.08696439117193222
0,Right,MIDDLE_FINGER_DIP,713.0326080322266,341.30680561065674,-0.09550274163484573
0,Right,MIDDLE_FINGER_TIP,745.23681640625,350.3112602233887,-0.10042393952608109
0,Right,RING_FINGER_PIP,594.9002456665039,358.85667085647583,-0.06302211433649063
0,Right,RING_FINGER_DIP,659.9597930908203,367.5002717971802,-0.08234530687332153
0,Right,RING_FINGER_TIP,700.78857421875,375.8306550979614,-0.08625194430351257
0,Right,RING_FINGER_MCP,730.1050567626953,381.08293533325195,-0.08752275258302689
0,Right,PINKY_MCP,595.3211975097656,389.8285675048828,-0.06295385956764221
0,Right,PINKY_PIP,644.8408508300781,399.01833057403564,-0.07719898968935013
0,Right,PINKY_DIP,676.6914367675781,404.25610542297363,-0.07975336909294128
0,Right,PINKY_TIP,701.6474151611328,407.038779258728,-0.08049551397562027
1,Right,WRIST,558.2481384277344,383.8905429840088,5.369062705540273e-07
1,Right,THUMB_CPC,587.6525497436523,352.44464635849,-0.008253523148596287
1,Right,THUMB_MCP,622.6620101928711,327.96865224838257,-0.023904921486973763
1,Right,THUMB_IP,658.0959320068359,320.79200506210327,-0.03841366246342659
1,Right,THUMB_TIP,687.6463317871094,315.3559184074402,-0.05381515622138977
1,Right,INDEX_FINGER_MCP,595.9984588623047,306.3421940803528,-0.05251077562570572
1,Right,INDEX_FINGER_PIP,650.9593963623047,290.996310710907,-0.07777786999940872
1,Right,INDEX_FINGER_DIP,691.5047454833984,297.8999948501587,-0.09164679050445557
1,Right,INDEX_FINGER_TIP,722.7170562744141,309.7709798812866,-0.09972196817398071
1,Right,MIDDLE_FINGER_MCP,581.6757583618164,332.54209756851196,-0.06024627387523651
1,Right,MIDDLE_FINGER_PIP,647.6251220703125,326.16416931152344,-0.08665443956851959
1,Right,MIDDLE_FINGER_DIP,692.8262329101562,336.62596464157104,-0.09348394721746445
1,Right,MIDDLE_FINGER_TIP,722.0613098144531,349.2287850379944,-0.09701655060052872
1,Right,RING_FINGER_PIP,575.7526016235352,366.5553617477417,-0.0670044869184494
1,Right,RING_FINGER_DIP,640.1496124267578,366.40597343444824,-0.08845198154449463
1,Right,RING_FINGER_TIP,681.1498260498047,375.3346824645996,-0.08957726508378983
